student_id,hours_studied,attendance_rate,previous_score,sleep_hours,tutoring_sessions,parental_education,internet_access,extracurricular_activities,peer_study_group,stress_level,final_score,performance_tier
STU_10000,18.2,71.7,57.8,6.2,0,High School,Yes,No,Yes,6,88.2,Distinction
STU_10001,14.1,83.9,91.3,6.3,0,Master's,Yes,No,No,8,100.0,Distinction
STU_10002,19.2,88.7,84.8,7.1,0,High School,Yes,Yes,No,2,100.0,Distinction
STU_10003,24.9,85.8,72.0,7.9,0,High School,Yes,Yes,No,3,100.0,Distinction
STU_10004,13.5,83.2,74.2,8.0,1,High School,Yes,No,No,7,94.9,Distinction
STU_10005,13.5,68.2,69.0,6.1,0,Doctorate,Yes,No,Yes,2,89.7,Distinction
STU_10006,25.3,72.2,78.8,6.0,2,High School,Yes,Yes,No,5,97.9,Distinction
STU_10007,20.0,78.0,63.9,6.1,0,Bachelor's,Yes,Yes,No,9,79.8,Merit
STU_10008,11.9,79.4,83.9,7.1,2,Master's,Yes,Yes,No,7,100.0,Distinction
STU_10009,18.5,64.5,69.0,6.9,1,Bachelor's,Yes,Yes,Yes,3,100.0,Distinction
STU_10010,12.0,91.1,67.0,6.1,5,Some College,Yes,No,No,2,99.9,Distinction
STU_10011,12.0,45.0,72.3,7.5,5,Master's,Yes,Yes,No,10,84.8,Merit
STU_10012,16.6,94.6,64.9,9.9,3,Master's,Yes,Yes,Yes,9,95.0,Distinction
STU_10013,2.6,61.2,75.9,6.6,2,Some College,Yes,Yes,No,9,65.9,Pass
STU_10014,3.8,71.5,65.6,6.7,1,Bachelor's,Yes,No,Yes,9,70.5,Merit
STU_10015,11.3,82.2,77.6,7.9,2,Doctorate,Yes,No,Yes,10,89.6,Distinction
STU_10016,8.4,71.1,86.6,6.5,4,Doctorate,Yes,No,No,3,100.0,Distinction
STU_10017,17.0,79.4,63.4,8.0,0,Some College,Yes,No,No,1,90.4,Distinction
STU_10018,9.1,86.9,70.4,6.3,1,Master's,Yes,No,Yes,9,89.5,Distinction
STU_10019,5.8,78.7,77.5,9.4,0,Some College,Yes,No,Yes,7,89.8,Distinction
STU_10020,24.5,96.4,66.8,7.6,1,Some College,Yes,Yes,No,2,100.0,Distinction
STU_10021,13.5,59.1,77.6,6.5,1,High School,Yes,Yes,Yes,6,88.6,Distinction
